,personal__score,personal__credit_limit,personal__credit_utilisation,personal__number_of_accounts,personal__age_of_oldest_account,personal__missed_payments_last_12m,personal__year_of_birth,company__liabilities,company__score,company__opinion,company__turnover,company__number_of_employees,company__region,company__assets,company__year_of_incorporation,loan_amount,outcome,loan_duration
42,91,5000,0.2,5,15,0,2004,31000.0,76,Outstanding,39493000.0,18,London,8159000.0,2017,10000,False,360
43,96,0,0.2,5,15,3,1955,42000.0,56,Outstanding,1298000.0,10,Scotland,0.0,1998,5000,False,360
44,94,1000,0.2,0,21,8,1926,13000.0,73,Outstanding,334183000.0,429,London,1173000.0,1970,5000,True,360
45,100,5000,0.2,4,27,0,1931,16000.0,99,Outstanding,96918000.0,41,London,63770000.0,2004,5000,False,360
46,51,5000,0.2,6,14,0,1926,191000.0,79,Outstanding,1437000.0,24,Northern Ireland,1272000.0,2005,40000,False,360
47,93,5000,0.2,10,7,0,2014,443000.0,74,Outstanding,68426000.0,116,London,12676000.0,1987,60000,False,360
48,74,0,0.2,7,5,0,1963,76000.0,56,Outstanding,103617000.0,127,London,644000.0,2016,5000,False,360
49,96,5000,0.2,6,15,2,1918,53000.0,99,Outstanding,215131000.0,931,North East,6784000.0,2003,65000,False,360
50,54,0,0.2,9,15,0,1959,120000.0,44,Outstanding,100101000.0,33,West Midlands,7866000.0,2015,20000,False,360
51,54,0,0.2,5,8,0,1905,42000.0,63,Outstanding,5108000.0,89,Scotland,928000.0,1987,40000,False,360
52,88,0,0.2,10,13,6,1944,0.0,99,Outstanding,14386000.0,1136,West Midlands,52921000.0,1972,65000,False,360
53,80,1000,0.2,7,21,4,1927,0.0,80,Outstanding,1104000.0,52,East Midlands,72000.0,2002,65000,False,360
54,85,0,0.2,2,13,5,1913,58000.0,71,Outstanding,19605000.0,865,Scotland,137327000.0,2008,5000,False,360
55,44,0,0.2,7,8,0,1951,64000.0,99,Outstanding,95794000.0,172,North West,1336000.0,1990,5000,False,360
56,94,1000,0.2,5,27,0,2013,77000.0,99,Outstanding,34337000.0,5647,East,18983000.0,1985,20000,False,360
57,82,0,0.2,5,8,0,1992,0.0,53,Outstanding,38902000.0,6005,North West,966000.0,2012,5000,False,360
58,50,5000,0.2,2,20,0,1936,0.0,60,Outstanding,20961000.0,177,Northern Ireland,667000.0,1997,5000,False,360
59,82,0,0.2,7,24,2,1943,608000.0,52,Outstanding,14361000.0,9,London,62000.0,2014,40000,False,360
60,95,0,0.2,4,19,6,1953,59000.0,63,Outstanding,23000.0,1,East,0.0,2013,5000,False,360
61,96,1000,0.2,1,7,1,1949,39000.0,61,Outstanding,1021000.0,15,East Midlands,57000.0,1976,5000,False,360
62,19,1000,0.2,8,14,0,2007,0.0,93,Outstanding,195244000.0,142,East,2033000.0,1974,5000,False,360
63,100,0,0.2,8,4,9,1922,17000.0,79,Outstanding,457803000.0,6613,West Midlands,1299000.0,1982,5000,False,360
64,95,1000,0.2,0,9,5,1943,197000.0,78,Outstanding,418599000.0,13148,Yorkshire and the Humber,30991000.0,2017,5000,False,360
65,71,1000,0.2,7,28,0,1926,66000.0,92,Outstanding,82940000.0,256,East Midlands,53350000.0,2017,40000,False,360
66,83,5000,0.2,5,12,2,1947,0.0,34,Outstanding,48149000.0,23,Yorkshire and the Humber,792000.0,2011,5000,False,360
67,72,5000,0.2,7,12,3,2012,293000.0,48,Outstanding,67931000.0,199,North East,12073000.0,2009,5000,False,360
68,12,1000,0.2,0,10,0,1908,22000.0,99,Outstanding,22452000.0,10349,North West,9399000.0,2006,5000,False,360
69,97,5000,0.2,5,12,0,1967,77000.0,83,Outstanding,427836000.0,366,South West,114719000.0,1989,15000,False,360
70,73,5000,0.2,10,22,1,1994,100000.0,99,Outstanding,48885000.0,685,Wales,3738000.0,1997,20000,False,360
71,96,5000,0.2,6,2,3,1914,62000.0,36,Outstanding,21000.0,1,East,0.0,2018,5000,False,360
72,77,0,0.2,1,14,0,1934,25000.0,99,Outstanding,51018000.0,423,London,7712000.0,2000,5000,False,360
73,100,0,0.2,3,14,6,2009,18000.0,46,Outstanding,28732000.0,7630,London,723000.0,1982,5000,False,360
74,56,5000,0.2,8,19,0,1935,62000.0,81,Outstanding,9989000.0,104,Yorkshire and the Humber,0.0,1973,65000,False,360
75,90,1000,0.2,1,5,2,1946,0.0,92,Outstanding,14345000.0,432,Yorkshire and the Humber,224000.0,1992,5000,False,360
76,86,0,0.2,6,15,0,1985,47000.0,38,Outstanding,157000.0,6,South East,26000.0,1975,20000,False,360
77,100,0,0.2,3,21,0,1965,0.0,51,Outstanding,35408000.0,315,South East,0.0,1991,5000,False,360
78,79,1000,0.2,2,11,0,1944,32000.0,82,Outstanding,6674000.0,53,South West,3084000.0,2010,5000,False,360
79,93,5000,0.2,8,9,0,1973,43000.0,77,Outstanding,99590000.0,782,East,2185000.0,1997,20000,False,360
80,90,0,0.2,0,17,6,1959,25000.0,55,Outstanding,30453000.0,4589,Scotland,6652000.0,1977,5000,False,360
81,93,5000,0.2,1,19,2,2017,330000.0,24,Outstanding,2809000.0,173,London,39000.0,1991,60000,False,360
82,90,1000,0.2,9,19,2,2017,35000.0,71,Outstanding,284560000.0,3937,East Midlands,2626000.0,1997,5000,False,360
83,76,5000,0.2,10,17,3,1990,13000.0,99,Outstanding,141930000.0,140,North West,2051000.0,1970,60000,False,360
84,88,5000,0.2,6,9,0,1908,128000.0,91,Outstanding,1115764000.0,76,London,1119000.0,1981,20000,False,360
85,83,1000,0.2,3,13,2,1992,0.0,64,Outstanding,788466000.0,1819,London,15400000.0,1981,40000,False,360
86,90,5000,0.2,5,14,3,1999,161000.0,56,Outstanding,56000.0,2,London,58000.0,1985,20000,False,360
87,62,1000,0.2,9,14,0,1994,102000.0,76,Outstanding,21356000.0,6836,West Midlands,12816000.0,1979,5000,False,360
88,73,5000,0.2,3,13,0,1975,51000.0,64,Outstanding,287413000.0,2018,North East,1044000.0,2010,5000,False,360
89,79,0,0.2,7,14,0,1952,201000.0,84,Outstanding,1545000.0,51,Yorkshire and the Humber,0.0,2015,15000,False,360
90,100,1000,0.2,4,23,5,1965,45000.0,99,Outstanding,922247000.0,2504,West Midlands,18333000.0,2010,5000,False,360
91,48,0,0.2,0,8,0,1994,86000.0,70,Outstanding,19757000.0,86,Scotland,354000.0,1997,5000,False,360
92,27,0,0.2,6,26,0,1942,59000.0,80,Outstanding,238914000.0,53,Scotland,808000.0,1989,5000,False,360
93,43,1000,0.2,2,13,1,1943,36000.0,59,Outstanding,407043000.0,45,East Midlands,572000.0,2010,5000,False,360
94,70,1000,0.2,4,23,2,1944,108000.0,39,Outstanding,1292000.0,51,Wales,721000.0,2005,20000,False,360
95,69,1000,0.2,7,8,0,1970,72000.0,95,Outstanding,16064000.0,6666,North West,436000.0,1991,15000,False,360
96,79,0,0.2,10,10,5,1995,30000.0,27,Outstanding,0.0,1,London,39000.0,1973,5000,False,360
97,79,1000,0.2,7,3,6,1942,283000.0,42,Outstanding,580000.0,70,London,48000.0,2014,60000,False,360
98,71,1000,0.2,7,13,0,1979,26000.0,99,Outstanding,17360000.0,6880,London,6265000.0,1993,5000,False,360
99,37,5000,0.2,9,16,0,1927,24000.0,51,Outstanding,24461000.0,119,North West,452000.0,2018,40000,False,360
100,89,1000,0.2,8,2,8,1944,0.0,38,Outstanding,342000.0,20,West Midlands,0.0,1992,5000,False,360
101,41,5000,0.2,9,23,0,1971,17000.0,74,Outstanding,143541000.0,1054,South East,43361000.0,1974,25000,False,360
102,88,5000,0.2,10,12,0,1920,136000.0,77,Outstanding,24949000.0,58,South West,16869000.0,2002,25000,False,360
103,91,5000,0.2,5,19,3,1988,165000.0,66,Outstanding,3841000.0,33,West Midlands,1165000.0,1983,10000,False,360
104,53,5000,0.2,7,16,0,1953,75000.0,50,Outstanding,14321000.0,2092,West Midlands,458000.0,1974,15000,False,360
105,46,0,0.2,1,18,1,1935,50000.0,49,Outstanding,21511000.0,28,East,948000.0,1994,5000,False,360
106,76,5000,0.2,4,7,2,1955,0.0,79,Outstanding,14018000.0,61,East,67000.0,2015,5000,False,360
107,67,1000,0.2,1,26,0,1943,0.0,99,Outstanding,13440000.0,254,North West,1171000.0,1982,5000,False,360
108,39,1000,0.2,8,14,1,1920,49000.0,86,Outstanding,666314000.0,3814,South West,5026000.0,1992,5000,False,360
109,78,5000,0.2,5,10,3,2001,17000.0,99,Outstanding,1045289000.0,13130,North West,3892000.0,1978,5000,False,360
110,86,5000,0.2,4,26,0,1911,42000.0,65,Outstanding,370000.0,7,Scotland,49000.0,2014,5000,False,360
111,38,5000,0.2,0,25,0,1972,196000.0,48,Outstanding,542254000.0,2001,London,11478000.0,1980,65000,False,360
112,99,1000,0.2,2,22,0,1987,0.0,99,Outstanding,989737000.0,1394,South West,16168000.0,1999,40000,False,360
113,86,1000,0.2,3,7,6,1920,56000.0,61,Outstanding,644000.0,10,South East,0.0,1974,5000,False,360
114,76,5000,0.2,8,4,5,1998,59000.0,66,Outstanding,0.0,22,East Midlands,0.0,2010,5000,False,360
115,68,5000,0.2,5,13,1,1937,128000.0,73,Outstanding,48045000.0,102,Scotland,0.0,1990,15000,False,360
116,63,5000,0.2,7,8,0,1975,151000.0,58,Outstanding,270197000.0,1627,Yorkshire and the Humber,2541000.0,2000,5000,False,360
117,94,1000,0.2,5,25,0,1997,81000.0,45,Outstanding,14083000.0,46,Northern Ireland,4663000.0,1988,5000,False,360
118,100,1000,0.2,0,9,0,1919,159000.0,71,Outstanding,1518000.0,51,Wales,471000.0,1998,5000,False,360
119,44,0,0.2,10,13,1,1942,0.0,50,Outstanding,0.0,462,East,31905000.0,2014,5000,False,360
120,48,0,0.2,1,22,0,1978,0.0,63,Outstanding,244662000.0,119,South East,9094000.0,2007,5000,False,360
121,95,1000,0.2,0,18,4,1995,21000.0,67,Outstanding,23000.0,1,London,19000.0,2014,5000,False,360
122,97,0,0.2,9,10,8,1948,111000.0,61,Outstanding,4313000.0,636,London,0.0,1995,5000,False,360
123,76,5000,0.2,10,15,3,1960,0.0,47,Outstanding,109422000.0,85,North West,2510000.0,1971,5000,True,360
124,23,5000,0.2,3,10,0,1954,78000.0,99,Outstanding,20187000.0,93,East Midlands,4200000.0,1970,5000,False,360
125,92,0,0.2,0,26,0,2007,150000.0,92,Outstanding,125735000.0,24,East,49658000.0,1995,15000,False,360
126,96,5000,0.2,4,19,7,1917,40000.0,99,Outstanding,133305000.0,72,South East,319264000.0,2008,5000,False,360
127,64,5000,0.2,2,14,0,1979,18000.0,63,Outstanding,303610000.0,7094,London,44973000.0,1977,5000,False,360
128,70,5000,0.2,3,12,0,2008,13000.0,99,Outstanding,13934000.0,84,South West,31156000.0,1999,65000,False,360
129,87,1000,0.2,5,21,3,1954,35000.0,77,Outstanding,20692000.0,4494,South West,2109000.0,2017,60000,False,360
130,99,0,0.2,4,20,5,2004,218000.0,72,Outstanding,26931000.0,1382,East,153000.0,2002,5000,True,360
131,84,0,0.2,7,25,1,1937,194000.0,75,Outstanding,14239000.0,30,North West,449000.0,2000,5000,False,360
132,81,0,0.2,4,11,0,1962,222000.0,45,Outstanding,4780000.0,65,Scotland,0.0,2012,5000,False,360
133,100,0,0.2,9,22,0,1976,34000.0,52,Outstanding,445664000.0,152,East,59698000.0,2007,15000,False,360
134,90,5000,0.2,7,11,0,1933,0.0,71,Outstanding,172110000.0,61,West Midlands,38944000.0,1976,60000,False,360
135,30,1000,0.2,8,27,0,2005,180000.0,52,Outstanding,137933000.0,1530,Northern Ireland,15796000.0,1972,5000,False,360
136,88,5000,0.2,6,8,1,1918,282000.0,42,Outstanding,5177000.0,86,East,317000.0,2002,5000,False,360
137,23,5000,0.2,4,25,0,1907,25000.0,95,Outstanding,13038000.0,20231,East Midlands,47431000.0,1979,5000,False,360
138,94,5000,0.2,10,11,0,1980,0.0,99,Outstanding,26935000.0,91,East,42272000.0,2002,5000,False,360
139,84,1000,0.2,4,10,0,1934,52000.0,99,Outstanding,76259000.0,369,South West,1013000.0,1989,10000,False,360
140,98,1000,0.2,0,10,4,1943,113000.0,52,Outstanding,0.0,146,East,130000.0,1971,5000,False,360
141,53,0,0.2,0,20,0,1999,35000.0,48,Outstanding,34000.0,3,London,160000.0,1985,20000,False,360
142,45,1000,0.2,9,8,0,2015,23000.0,25,Outstanding,42000.0,1,Yorkshire and the Humber,77000.0,2017,5000,False,360
143,86,1000,0.2,0,20,5,1969,27000.0,99,Outstanding,134962000.0,83,Wales,2740000.0,1992,25000,True,360
144,88,0,0.2,0,23,1,1979,27000.0,90,Outstanding,20438000.0,6361,East Midlands,1018000.0,2002,40000,False,360
145,49,5000,0.2,8,9,1,2002,35000.0,52,Outstanding,71717000.0,364,North East,467000.0,2002,65000,False,360
146,83,0,0.2,4,9,0,1903,39000.0,55,Outstanding,21917000.0,12517,North West,1986000.0,1986,65000,False,360
147,96,0,0.2,9,14,5,1997,23000.0,90,Outstanding,149709000.0,2834,South West,22416000.0,1982,15000,False,360
148,56,1000,0.2,6,8,0,1909,71000.0,99,Outstanding,77986000.0,6381,London,0.0,1982,5000,False,360
149,85,0,0.2,7,3,4,1992,295000.0,57,Outstanding,99907000.0,157,West Midlands,387000.0,1974,25000,False,360
150,53,0,0.2,4,19,0,1925,308000.0,82,Outstanding,115406000.0,2315,South East,10687000.0,1991,5000,False,360
151,60,5000,0.2,4,24,3,1944,0.0,99,Outstanding,593535000.0,75,North East,5636000.0,1987,5000,False,360
152,13,0,0.2,5,17,0,1976,106000.0,52,Outstanding,267915000.0,517,North East,6401000.0,1977,5000,False,360
153,82,0,0.2,3,14,3,1997,28000.0,65,Outstanding,106601000.0,10488,Scotland,39823000.0,2016,20000,False,360
154,93,1000,0.2,1,8,3,2011,148000.0,67,Outstanding,21142000.0,18,Scotland,533000.0,2008,15000,False,360
155,50,1000,0.2,10,18,0,1918,186000.0,46,Outstanding,1660000.0,199,North West,728000.0,2008,5000,False,360
156,51,0,0.2,3,4,0,1943,0.0,84,Outstanding,1671000.0,276,Scotland,774000.0,2009,5000,False,360
157,74,1000,0.2,3,12,0,1957,22000.0,99,Outstanding,13263000.0,360,North East,24823000.0,2001,20000,False,360
158,89,5000,0.2,0,11,3,1945,14000.0,99,Outstanding,837463000.0,1787,North West,90386000.0,2006,65000,True,360
159,49,5000,0.2,2,7,0,2006,162000.0,82,Outstanding,22849000.0,119,Wales,1923000.0,2011,15000,False,360
160,63,5000,0.2,2,27,0,2017,146000.0,55,Outstanding,54155000.0,109,South West,223481000.0,1992,5000,False,360
161,31,0,0.2,0,27,0,1921,139000.0,78,Outstanding,2892000.0,112,Wales,1116000.0,1974,20000,False,360
162,80,1000,0.2,8,19,1,1906,278000.0,79,Outstanding,14919000.0,68,South West,1348000.0,2014,5000,False,360
163,77,1000,0.2,3,15,0,1975,0.0,62,Outstanding,18502000.0,9203,East Midlands,3974000.0,1997,20000,False,360
164,59,5000,0.2,7,10,0,1907,25000.0,63,Outstanding,21118000.0,25,East,6130000.0,2011,15000,False,360
165,71,1000,0.2,5,19,0,1948,0.0,59,Outstanding,25139000.0,20,Scotland,182000.0,1988,20000,False,360
166,79,1000,0.2,8,8,3,1950,0.0,89,Outstanding,486478000.0,1831,East,1376000.0,1978,40000,False,360
167,82,5000,0.2,5,8,3,1925,15000.0,99,Outstanding,346802000.0,127,Scotland,142042000.0,2014,15000,False,360
168,100,0,0.2,4,1,2,1924,14000.0,99,Outstanding,16962000.0,8726,North West,65349000.0,2011,60000,False,360
169,98,1000,0.2,7,9,6,1937,302000.0,75,Outstanding,1936000.0,33,South West,57000.0,1979,5000,False,360
170,98,0,0.2,2,20,7,2019,156000.0,53,Outstanding,50000.0,2,South East,0.0,1979,5000,False,360
171,95,1000,0.2,6,12,5,1997,43000.0,81,Outstanding,2449000.0,202,South East,277000.0,1980,60000,False,360
172,33,5000,0.2,5,22,0,1962,45000.0,50,Outstanding,4688000.0,164,London,3334000.0,2003,40000,False,360
173,92,1000,0.2,2,6,7,2006,72000.0,87,Outstanding,44306000.0,461,South East,2165000.0,1971,5000,False,360
174,63,5000,0.2,8,8,1,1980,21000.0,72,Outstanding,8350000.0,688,London,5294000.0,2015,5000,False,360
175,93,0,0.2,8,4,7,2016,312000.0,81,Outstanding,8086000.0,19,West Midlands,261000.0,2006,65000,False,360
176,90,1000,0.2,8,8,1,1981,11000.0,99,Outstanding,352752000.0,1071,East Midlands,9062000.0,1997,65000,False,360
177,92,0,0.2,4,12,3,1909,254000.0,39,Outstanding,21676000.0,521,East,3815000.0,2001,20000,False,360
178,62,0,0.2,6,26,1,1910,35000.0,83,Outstanding,29612000.0,47,East Midlands,146000.0,1986,5000,False,360
179,48,1000,0.2,8,26,0,1912,210000.0,58,Outstanding,13478000.0,67,East,257000.0,2015,5000,False,360
180,87,0,0.2,1,25,0,1928,14000.0,60,Outstanding,13000.0,1,East,14000.0,1994,5000,False,360
181,64,5000,0.2,10,16,0,1929,81000.0,68,Outstanding,920825000.0,46,London,1776000.0,1991,5000,False,360
182,85,5000,0.2,0,15,7,1951,241000.0,38,Outstanding,1820000.0,105,West Midlands,265000.0,1983,60000,False,360
183,79,1000,0.2,2,23,3,1915,0.0,78,Outstanding,5126000.0,733,North West,2867000.0,1987,5000,True,360
184,83,5000,0.2,8,14,0,2015,79000.0,50,Outstanding,403860000.0,4070,South East,277000.0,2007,20000,False,360
185,97,5000,0.2,5,7,0,1996,0.0,42,Outstanding,1527000.0,156,North West,1499000.0,2003,15000,False,360
186,74,1000,0.2,8,19,0,1911,48000.0,90,Outstanding,32095000.0,267,East,223855000.0,1999,5000,False,360
187,99,1000,0.2,0,14,0,1913,17000.0,86,Outstanding,215754000.0,4345,North East,25028000.0,1994,40000,False,360
188,25,1000,0.2,2,17,0,1943,135000.0,43,Outstanding,0.0,35,North East,81000.0,1978,20000,False,360
189,69,5000,0.2,8,23,0,1929,35000.0,82,Outstanding,74292000.0,4748,Wales,3070000.0,1975,20000,False,360
190,19,0,0.2,2,25,0,1998,0.0,99,Outstanding,116611000.0,110,London,14223000.0,1996,5000,False,360
191,50,1000,0.2,7,8,3,1964,96000.0,99,Outstanding,290983000.0,11974,Scotland,122886000.0,2013,5000,False,360
192,86,5000,0.2,9,27,0,1906,123000.0,57,Outstanding,2395000.0,9,North West,133000.0,1991,20000,False,360
193,57,0,0.2,2,14,0,1986,0.0,39,Outstanding,16147000.0,104,London,1591000.0,1977,40000,False,360
194,69,5000,0.2,1,15,3,1953,102000.0,99,Outstanding,44055000.0,13641,South West,5098000.0,2018,5000,False,360
195,79,1000,0.2,8,7,0,1953,25000.0,99,Outstanding,568581000.0,968,North West,20706000.0,2014,5000,False,360
196,84,0,0.2,0,8,0,1998,0.0,82,Outstanding,25580000.0,273,Wales,448000.0,1990,5000,False,360
197,44,5000,0.2,7,20,0,1938,15000.0,51,Outstanding,303991000.0,5857,London,4972000.0,1974,5000,False,360
198,60,0,0.2,1,12,0,1937,23000.0,77,Outstanding,23058000.0,12153,North West,6230000.0,1990,65000,False,360
199,82,1000,0.2,0,2,6,1928,50000.0,95,Outstanding,44789000.0,234,South West,1691000.0,1986,5000,False,360
200,60,0,0.2,6,19,0,1999,92000.0,88,Outstanding,653758000.0,5485,South West,6010000.0,1992,5000,False,360
201,96,0,0.2,2,25,0,2016,148000.0,29,Outstanding,0.0,4,London,20000.0,1988,5000,False,360
202,53,0,0.2,2,13,1,1965,118000.0,83,Outstanding,9671000.0,13,London,1627000.0,2013,40000,False,360
203,57,5000,0.2,2,12,0,1972,0.0,99,Outstanding,104566000.0,370,London,184847000.0,2006,20000,False,360
204,84,5000,0.2,5,18,5,1909,88000.0,60,Outstanding,77358000.0,237,North West,10578000.0,2003,20000,False,360
205,99,1000,0.2,10,3,0,1976,239000.0,70,Outstanding,15674000.0,13,West Midlands,190000.0,2002,20000,False,360
206,97,5000,0.2,0,5,1,1934,64000.0,44,Outstanding,2790000.0,21,South West,0.0,1971,5000,False,360
207,72,0,0.2,2,13,0,2011,46000.0,99,Outstanding,88990000.0,6570,South East,65543000.0,2014,5000,False,360
208,87,5000,0.2,3,6,7,2002,155000.0,45,Outstanding,4028000.0,59,East Midlands,116000.0,1986,5000,False,360
209,84,5000,0.2,3,13,4,1917,57000.0,39,Outstanding,378000.0,5,Scotland,32000.0,1982,5000,False,360
210,68,5000,0.2,5,7,3,1950,359000.0,29,Outstanding,0.0,7,North West,33000.0,2010,5000,False,360
211,67,1000,0.2,1,12,1,1929,67000.0,99,Outstanding,728121000.0,789,Yorkshire and the Humber,1366000.0,1984,5000,False,360
212,57,5000,0.2,2,16,0,2001,120000.0,58,Outstanding,267535000.0,603,Northern Ireland,4056000.0,2001,5000,False,360
213,51,5000,0.2,10,20,0,1985,0.0,38,Outstanding,159000.0,3,Yorkshire and the Humber,0.0,2012,10000,False,360
214,96,0,0.2,4,25,0,2005,36000.0,99,Outstanding,13052000.0,1939,South East,7488000.0,2013,65000,False,360
215,59,1000,0.2,2,15,0,2015,279000.0,38,Outstanding,7568000.0,1368,North West,222000.0,2018,40000,False,360
216,100,5000,0.2,9,4,2,2009,14000.0,89,Outstanding,1242483000.0,473,North East,27374000.0,1995,65000,False,360
217,100,0,0.2,0,6,5,2009,0.0,68,Outstanding,22288000.0,149,East,14015000.0,1975,65000,False,360
218,72,1000,0.2,3,18,5,1910,282000.0,27,Outstanding,2657000.0,14,North West,83000.0,1978,20000,False,360
219,81,0,0.2,7,19,0,1928,145000.0,79,Outstanding,7743000.0,120,East,280000.0,1975,5000,False,360
220,98,1000,0.2,3,16,0,1985,83000.0,63,Outstanding,986528000.0,1928,London,24307000.0,1986,5000,False,360
221,95,1000,0.2,7,16,0,1976,60000.0,50,Outstanding,3916000.0,496,South East,2030000.0,1999,5000,False,360
222,76,5000,0.2,3,9,1,1978,28000.0,66,Outstanding,1003603000.0,1045,Scotland,15016000.0,1997,5000,False,360
223,99,0,0.2,7,16,0,1944,0.0,83,Outstanding,126587000.0,137,North West,254944000.0,2015,5000,False,360
224,69,0,0.2,6,21,0,1953,11000.0,99,Outstanding,11474000.0,8802,North East,10560000.0,2001,5000,False,360
225,79,0,0.2,10,27,0,2008,83000.0,99,Outstanding,13195000.0,1636,Yorkshire and the Humber,3670000.0,1971,65000,False,360
226,97,5000,0.2,10,25,1,1928,167000.0,40,Outstanding,1252000.0,31,London,360000.0,2008,5000,False,360
